2016-10-01 08:54:24.9681 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:54:24.9798 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:54:25.0702 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:54:25.0702 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:54:25.0946 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:54:30.6674 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:54:30.6674 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:54:30.6893 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-01 08:54:30.7020 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-01 08:54:30.7147 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:54:31.6688 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:54:31.6796 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:54:31.6796 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-01 08:54:31.7030 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-01 08:54:31.7152 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:54:32.6693 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:54:32.6849 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:54:32.7015 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-01 08:54:32.7133 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-01 08:54:32.7274 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:54:33.6703 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:54:33.6815 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:54:33.6815 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-01 08:54:33.7035 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-01 08:54:33.7157 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:54:39.5434 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:54:39.5575 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:54:39.5702 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:54:39.5849 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
